User ID Number,Gender,Seeking,Age,Profile Visits,Kisses,Fans,Country Name,Country Cordinates,User Country,City Cordinates,Last Known City Location,Location,lastOnlineDate,lastOnlineTime,User ID,Age Category
17,F,M,22,20266,1148,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,M√ºlheim,2015-04-25T04:36:43Z,1429936603,552e5bbd066ea1933e8b490b,Early Twenties
18,F,M,20,16683,647,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3483∞ N, 8.7179∞ E",Uster,Utzenstorf,2015-04-26T10:26:08Z,1430043968,55146fb7ea6da11d158b463a,Early Twenties
19,F,M,25,3413,86,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3769∞ N, 8.5417∞ E",Zurich,Blankenburg,2015-04-25T18:11:13Z,1429985473,503cbfc7ca61bea1590000bf,Late Twenties
20,F,M,19,8310,143,2,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.4718∞ N, 7.2866∞ E",Gstaad,H√§rkingen,2015-04-26T08:07:07Z,1430035627,52dd7bd9c56da1966f61cfd3,Early Twenties
21,F,M,21,25903,982,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"48.7258∞ N, 2.1252∞ E",Villiers-le-Bacle,Basel,2015-04-08T15:09:19Z,1428505759,550f31ca1c0ba0785b8b4a90,Early Twenties
22,F,M,21,33018,812,36,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.4312∞ N, 6.9107∞ E",Montreux,Marbach (LU),2015-04-25T21:35:40Z,1429997740,550db26a086ea18e4f8b4678,Early Twenties
23,F,M,22,2502,25,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,Maulburg,2015-04-06T18:52:15Z,1428346335,54b8170ae96da129508b4b1a,Early Twenties
24,F,M,24,22847,1282,63,United States,"37.0902∞ N, 95.7129∞ W",US,"40.7128∞ N, 74.0060∞ W",New York,Untersiggenthal,2015-04-07T20:21:17Z,1428438077,525aaeb8190ba0d743a9b637,Early Twenties
25,F,none,21,7407,125,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.0037∞ N, 8.9511∞ E",Lugano,Emmen,2015-04-25T13:18:14Z,1429967894,54ad5e03190ba0cb108b45d0,Early Twenties
26,F,both,19,16096,533,6,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3130∞ N, 7.9199∞ E",Oftringen,Winznau,2015-04-26T11:50:47Z,1430049047,55336759076ea11d208b483c,Early Twenties
27,F,M,22,15457,431,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"49.3802∞ N, 10.1867∞ E",Rothenburg,Lyss,2015-04-06T11:59:59Z,1428321599,5411f8c8180ba0184a8b4aac,Early Twenties
28,F,M,20,6962,361,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,L√∂rrach,2015-04-26T08:18:01Z,1430036281,552aa2c1ea6da1bd358b4851,Early Twenties
29,F,both,22,30863,1901,121,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.5536∞ N, 8.8988∞ E",Frauenfeld,Opfikon,2015-04-08T15:09:04Z,1428505744,550c6869160ba0f7318b4771,Early Twenties
30,F,M,24,51339,2926,1,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.4068∞ N, 8.0112∞ E",Erlinsbach,Erlinsbach (AG),2015-04-08T10:38:36Z,1428489516,552025c01c0ba01e1b8b4588,Early Twenties
31,F,M,21,3471,38,4,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3271∞ N, 8.8014∞ E",Wetzikon,Uster,2015-04-08T15:14:36Z,1428506076,5465e30f170ba051228b4c6b,Early Twenties
32,F,M,25,12050,478,7,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3769∞ N, 8.5417∞ E",Zurich,Zug,2015-04-07T20:11:54Z,1428437514,5522e5cfca6da1791c8b4688,Late Twenties
33,F,M,24,26982,710,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.4068∞ N, 8.0112∞ E",Erlinsbach,Emmen,2015-04-08T14:22:46Z,1428502966,527629ff1a0ba0b97008fc9b,Early Twenties
34,F,M,24,1820,25,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3130∞ N, 7.9199∞ E",Oftringen,Rothrist,2015-04-26T11:45:05Z,1430048705,55388b1bca6da1d50b8b4a45,Early Twenties
35,F,none,22,11507,194,58,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.0037∞ N, 8.9511∞ E",Lugano,Bern,2015-04-08T10:14:15Z,1428488055,54a47c42086ea12b6b8b528c,Early Twenties
36,F,M,21,17655,468,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.0037∞ N, 8.9511∞ E",Lugano,Kriens,2015-04-26T10:22:03Z,1430043723,553157bec76da13a558b4bb3,Early Twenties
37,F,M,21,47000,1469,82,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,L√∂rrach,2015-04-07T21:42:20Z,1428442940,54df3f03180ba0542a8b47fd,Early Twenties
38,F,M,19,12754,368,2,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3130∞ N, 7.9199∞ E",Oftringen,Aarau,2015-04-08T15:00:57Z,1428505257,548c21261a0ba0a85a8b4866,Early Twenties
39,F,M,19,7694,143,14,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3130∞ N, 7.9199∞ E",Oftringen,Basel,2015-04-26T01:17:35Z,1430011055,550b3d02c66da1485a8b477d,Early Twenties
40,F,M,25,4372,134,16,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.0342∞ N, 8.2773∞ E",Kriens,Luzern,2015-04-26T10:33:15Z,1430044395,53c84ea3cb6da1dd7e8b4d55,Late Twenties
41,F,M,22,9700,124,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3271∞ N, 8.8014∞ E",Wetzikon,Baltenswil,2015-04-08T10:30:12Z,1428489012,54b245ed160ba0a9278b4a68,Early Twenties
42,F,M,20,10531,360,1,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.0037∞ N, 8.9511∞ E",Lugano,Luzern,2015-04-26T10:04:56Z,1430042696,5415813d150ba0d05b8b4e38,Early Twenties
43,F,M,19,16458,486,15,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.1989∞ N, 8.8830∞ E",Nuolen,Konolfingen,2015-04-26T11:33:56Z,1430048036,552a69160a6ea1e18f8b4dd4,Early Twenties
44,F,M,20,264,6,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.0037∞ N, 8.9511∞ E",Lugano,La Chaux-de-Fonds,2015-04-26T09:28:25Z,1430040505,5534e4a40b6ea1ff618b4f0d,Early Twenties
45,F,M,25,18475,1065,23,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.4718∞ N, 7.2866∞ E",Gstaad,Sch√∂ftland,2015-04-25T21:30:49Z,1429997449,552b6669c46da13a788b4796,Late Twenties
